date	sha	gbps	tag
2025-01-08	a02792894d	0.528082	
2025-01-08	a0f0388660	0.530171	
2025-01-08	a37627d3a9	0.531050	
2025-01-08	a3b46b84ec	0.538960	
2025-01-08	a542d1357b	0.512123	
2025-01-08	a5c2876173	0.518058	
2025-01-08	a8a3ecc488	0.524552	
2025-01-08	a92c81ada4	0.516962	
2025-01-08	ab15eef46d	0.529569	
2025-01-08	abbd103896	0.519259	
2025-01-08	acef83eca2	0.531328	
2025-01-08	ad6c6da966	0.525930	
2025-01-08	b1c1b6b269	0.525967	
2025-01-08	b22e286d0b	0.537088	
2025-01-08	b384104939	0.512346	
2025-01-08	b391033dfd	0.529718	
2025-01-08	b5ac7a7501	0.529037	
2025-01-08	b8d8872a6d	0.529299	
2025-01-08	ba9118182f	0.531726	
2025-01-08	bb646707cd	0.519604	
2025-01-08	be7a92a883	0.531196	
2025-01-08	c34560bb93	0.528339	
2025-01-08	c5bc8e0b4d	0.518726	
2025-01-08	c5f1373cd3	0.517164	
2025-01-08	c89421b378	0.514190	
2025-01-08	c8997fa3e3	0.525555	
2025-01-08	c9e2576cf1	0.529977	
2025-01-08	cb9f9fb322	0.527306	
2025-01-08	cc8843f593	0.530037	
2025-01-08	cda2446f47	0.525093	
2025-01-08	cee2b78632	0.526215	
2025-01-08	cffdeeee1d	0.516770	
2025-01-08	d019ca0396	0.527447	
2025-01-08	d3d79c5399	0.525636	
2025-01-08	d645fac9de	0.523144	
2025-01-08	d6764ce72b	0.523118	
2025-01-08	d7b26d2aea	0.526957	
2025-01-08	d88d94a285	0.521725	
2025-01-08	d910b8cea7	0.532458	
2025-01-08	db0df8d49c	0.528585	
2025-01-08	db0e24f58b	0.520500	
2025-01-08	dbf44b918f	0.535918	
2025-01-08	dfbb9d6b0f	0.525155	
2025-01-08	e16ef1dc1c	0.523364	
2025-01-08	e6f7882252	0.520367	
2025-01-08	eb9248284e	0.523860	
2025-01-08	f0eadad94d	0.516269	
2025-01-08	f3fc897f61	0.528116	
2025-01-08	f571b628de	0.529995	
2025-01-08	f59727474e	0.527955	
2025-01-08	f838f4a61d	0.526721	
2025-01-08	fac55b4e6e	0.521337	
2025-01-09	f1eee2a70d	0.526932	
2025-01-12	0394a7cfbf	0.531827	
2025-01-17	7dc872bfbc	0.526663	
2025-01-20	920a8b34c1	0.527231	
2025-01-22	122767e348	0.528797	
2025-01-22	31d23a3379	0.529971	
2025-01-22	48ffd7d355	0.526195	
2025-01-22	57d3866b1d	0.506996	
2025-01-22	60c1e3bb7b	0.510614	
2025-01-22	655e4295ff	0.510242	
2025-01-22	864025ebce	0.524101	
2025-01-22	8777cfe7f0	0.535129	
2025-01-22	8d9c618dc5	0.522285	
2025-01-22	974b072cbc	0.520422	
2025-01-22	9c51a1e50d	0.523689	
2025-01-22	a0563a3ae1	0.507496	
2025-01-22	a2c15d83d7	0.527575	
2025-01-22	b588ccb665	0.531222	
2025-01-22	c505a10354	0.519447	
2025-01-22	c85850f321	0.502223	
2025-01-22	dc2aef121b	0.523702	
2025-01-22	dcba896852	0.527631	
2025-01-22	e20a81c2b2	0.537044	
2025-01-23	9daa040ff3	0.507641	
2025-01-23	89e4021287	0.507132	
2025-01-24	ecdb978493	0.522926	
2025-01-27	aec5864edc	0.523281	
2025-01-27	ef487c828d	0.522082	
2025-01-27	4d0e48c33c	0.531305	
2025-01-27	27e7f7cf11	0.521534	
2025-01-27	ea07694f00	0.521911	
2025-01-29	ff92faaee4	0.523025	
2025-01-30	f8507a1f04	0.523820	
2025-01-30	879f5b64e3	0.523138	
2025-01-30	4ec60ff160	0.524297	
2025-01-30	d44402b86c	0.523419	v3.0.0
2025-01-30	c1df59594b	0.525575	
2025-01-30	1492acb8a5	0.522605	v3.0.1
2025-01-31	ac78801490	0.537084	
2025-01-31	d80124a827	0.532929	
2025-02-01	bedd4f285b	0.541145	
2025-02-01	526f0eb732	0.531942	
2025-02-01	0e95ccdd71	0.536275	
2025-02-01	616923336c	0.533282	
2025-02-03	f2165c59ff	0.532604	
2025-02-07	7137b3e0ca	0.533412	
2025-02-10	9cf51507a7	0.531493	
2025-02-10	6052654355	0.537062	
2025-02-11	8d3068ea14	0.531017	v3.1.0
2025-02-14	3037390dee	0.536575	
2025-02-15	0312be02d8	0.536817	
2025-02-15	362126e114	0.535992	
2025-02-15	de4790c5e4	0.531681	
2025-02-15	7f1e854155	0.532222	
2025-02-15	8ea5ae5beb	0.530822	
2025-02-15	acae0342a7	0.528477	
2025-02-16	997143b22a	0.532266	
2025-02-17	5b8cf71476	0.526534	
2025-02-17	9a772e4ca3	0.528913	
2025-02-17	9f0ed2d2d2	0.528423	
2025-02-17	a8ce381a66	0.526979	
2025-02-18	973740789f	0.543579	
2025-02-18	b35974322a	0.539836	
2025-02-23	2bbe8f1910	0.532652	
2025-02-23	875f63351d	0.539450	v3.1.1
2025-02-25	abdc319ea3	0.539584	
2025-02-25	c0ae347351	0.539571	
2025-02-25	88f992e29d	0.540175	v3.1.2
2025-02-26	4086019897	0.543755	
2025-02-26	ae4d67a455	0.542037	
