tc	idx	sha	date	bench	mbs	cb	ib	subject
clangpaper	022	bddb23177e0c	2026-03-25T17:25:37-04:00	serialization_twitter	4614.93	0.75	3.44	feat: Add DOM tape support for big integers (opt-in) (#2640)
clangpaper	022	bddb23177e0c	2026-03-25T17:25:37-04:00	serialization_citm	2810.71	1.22	6.05	feat: Add DOM tape support for big integers (opt-in) (#2640)
clangpaper	022	bddb23177e0c	2026-03-25T17:25:37-04:00	parsing_twitter	4842.91	0.72	2.6	feat: Add DOM tape support for big integers (opt-in) (#2640)
clangpaper	022	bddb23177e0c	2026-03-25T17:25:37-04:00	parsing_citm	2294.3	1.5	6.14	feat: Add DOM tape support for big integers (opt-in) (#2640)
clangpaper	023	18d612df15b2	2026-03-25T17:26:13-04:00	serialization_twitter	4604.69	0.75	3.44	4.5.0
clangpaper	023	18d612df15b2	2026-03-25T17:26:13-04:00	serialization_citm	2764.42	1.25	6.05	4.5.0
clangpaper	023	18d612df15b2	2026-03-25T17:26:13-04:00	parsing_twitter	4754.98	0.72	2.6	4.5.0
clangpaper	023	18d612df15b2	2026-03-25T17:26:13-04:00	parsing_citm	2292.18	1.51	6.14	4.5.0
clangpaper	024	9973f7b3a387	2026-03-29T15:54:11-04:00	serialization_twitter	4623.42	0.75	3.44	Fix fopen usage with string_view (#2652)
clangpaper	024	9973f7b3a387	2026-03-29T15:54:11-04:00	serialization_citm	2776.97	1.24	6.05	Fix fopen usage with string_view (#2652)
clangpaper	024	9973f7b3a387	2026-03-29T15:54:11-04:00	parsing_twitter	4801.78	0.72	2.6	Fix fopen usage with string_view (#2652)
clangpaper	024	9973f7b3a387	2026-03-29T15:54:11-04:00	parsing_citm	2281.61	1.51	6.14	Fix fopen usage with string_view (#2652)
clangpaper	025	afb1c9f4b1dc	2026-03-29T15:54:28-04:00	serialization_twitter	4617.66	0.75	3.44	correct inverted clamp in set_max_capacity (#2651)
clangpaper	025	afb1c9f4b1dc	2026-03-29T15:54:28-04:00	serialization_citm	2821.5	1.23	6.05	correct inverted clamp in set_max_capacity (#2651)
clangpaper	025	afb1c9f4b1dc	2026-03-29T15:54:28-04:00	parsing_twitter	4797.2	0.72	2.6	correct inverted clamp in set_max_capacity (#2651)
clangpaper	025	afb1c9f4b1dc	2026-03-29T15:54:28-04:00	parsing_citm	2288.25	1.51	6.14	correct inverted clamp in set_max_capacity (#2651)
clangpaper	026	307ddd44150f	2026-03-30T10:13:08-04:00	serialization_twitter	4638.94	0.75	3.44	Avoid overflow in padded_string_builder::reserve (#2654)
clangpaper	026	307ddd44150f	2026-03-30T10:13:08-04:00	serialization_citm	2811.62	1.23	6.05	Avoid overflow in padded_string_builder::reserve (#2654)
clangpaper	026	307ddd44150f	2026-03-30T10:13:08-04:00	parsing_twitter	4803.42	0.72	2.6	Avoid overflow in padded_string_builder::reserve (#2654)
clangpaper	026	307ddd44150f	2026-03-30T10:13:08-04:00	parsing_citm	2284.4	1.51	6.14	Avoid overflow in padded_string_builder::reserve (#2654)
clangpaper	027	12fb30ae9cb5	2026-03-30T10:16:31-04:00	serialization_twitter	4639.33	0.75	3.44	add get_int32() and get_uint32() to the On Demand API (#2638)
clangpaper	027	12fb30ae9cb5	2026-03-30T10:16:31-04:00	serialization_citm	2823.46	1.23	6.05	add get_int32() and get_uint32() to the On Demand API (#2638)
clangpaper	027	12fb30ae9cb5	2026-03-30T10:16:31-04:00	parsing_twitter	4745.92	0.72	2.6	add get_int32() and get_uint32() to the On Demand API (#2638)
clangpaper	027	12fb30ae9cb5	2026-03-30T10:16:31-04:00	parsing_citm	2289.88	1.51	6.14	add get_int32() and get_uint32() to the On Demand API (#2638)
clangpaper	028	f25d5f9fc244	2026-03-30T19:51:00-04:00	serialization_twitter	4593.4	0.75	3.44	4.6.0 (#2655)
clangpaper	028	f25d5f9fc244	2026-03-30T19:51:00-04:00	serialization_citm	2810.02	1.23	6.05	4.6.0 (#2655)
