date	sha	tag	metric	value	subject
2024-08-04	04b9b9ed1a69		utf16le_to_utf8	12.471	tweak simdutf_really_inline
2024-08-04	04b9b9ed1a69		base64_encode	31.861	tweak simdutf_really_inline
2024-08-04	04b9b9ed1a69		base64_decode	38.197	tweak simdutf_really_inline
2024-08-04	dfcdf2ac4a2b		validate_utf8	20.293	fix alignment error in unit tests (gcc complains) (#474)
2024-08-04	dfcdf2ac4a2b		validate_ascii	82.666	fix alignment error in unit tests (gcc complains) (#474)
2024-08-04	dfcdf2ac4a2b		validate_utf16le	61.534	fix alignment error in unit tests (gcc complains) (#474)
2024-08-04	dfcdf2ac4a2b		utf8_to_utf16le	6.837	fix alignment error in unit tests (gcc complains) (#474)
2024-08-04	dfcdf2ac4a2b		utf16le_to_utf8	12.473	fix alignment error in unit tests (gcc complains) (#474)
2024-08-04	dfcdf2ac4a2b		base64_encode	31.685	fix alignment error in unit tests (gcc complains) (#474)
2024-08-04	dfcdf2ac4a2b		base64_decode	38.213	fix alignment error in unit tests (gcc complains) (#474)
2024-08-04	d3c8cf6e43af		validate_utf8	20.278	Issue 471 (#473)
2024-08-04	d3c8cf6e43af		validate_ascii	82.690	Issue 471 (#473)
2024-08-04	d3c8cf6e43af		validate_utf16le	61.429	Issue 471 (#473)
2024-08-04	d3c8cf6e43af		utf8_to_utf16le	6.863	Issue 471 (#473)
2024-08-04	d3c8cf6e43af		utf16le_to_utf8	12.474	Issue 471 (#473)
2024-08-04	d3c8cf6e43af		base64_encode	32.096	Issue 471 (#473)
2024-08-04	d3c8cf6e43af		base64_decode	38.245	Issue 471 (#473)
2024-08-04	c779aa0d4f29		validate_utf8	20.276	issue 470 (#475)
2024-08-04	c779aa0d4f29		validate_ascii	82.665	issue 470 (#475)
2024-08-04	c779aa0d4f29		validate_utf16le	61.553	issue 470 (#475)
2024-08-04	c779aa0d4f29		utf8_to_utf16le	6.738	issue 470 (#475)
2024-08-04	c779aa0d4f29		utf16le_to_utf8	12.420	issue 470 (#475)
2024-08-04	c779aa0d4f29		base64_encode	32.215	issue 470 (#475)
2024-08-04	c779aa0d4f29		base64_decode	38.260	issue 470 (#475)
2024-08-05	5e8e95584f07		validate_utf8	20.301	verify issue 468 (#469)
2024-08-05	5e8e95584f07		validate_ascii	82.711	verify issue 468 (#469)
2024-08-05	5e8e95584f07		validate_utf16le	61.396	verify issue 468 (#469)
2024-08-05	5e8e95584f07		utf8_to_utf16le	6.827	verify issue 468 (#469)
2024-08-05	5e8e95584f07		utf16le_to_utf8	12.494	verify issue 468 (#469)
2024-08-05	5e8e95584f07		base64_encode	31.940	verify issue 468 (#469)
2024-08-05	5e8e95584f07		base64_decode	38.290	verify issue 468 (#469)
2024-08-05	f058d353140f		validate_utf8	20.291	fix: correct problem where some non-ascii chars could be allowed in UTF-16 base64 (#476)
2024-08-05	f058d353140f		validate_ascii	82.701	fix: correct problem where some non-ascii chars could be allowed in UTF-16 base64 (#476)
2024-08-05	f058d353140f		validate_utf16le	61.334	fix: correct problem where some non-ascii chars could be allowed in UTF-16 base64 (#476)
2024-08-05	f058d353140f		utf8_to_utf16le	6.822	fix: correct problem where some non-ascii chars could be allowed in UTF-16 base64 (#476)
2024-08-05	f058d353140f		utf16le_to_utf8	12.407	fix: correct problem where some non-ascii chars could be allowed in UTF-16 base64 (#476)
2024-08-05	f058d353140f		base64_encode	31.995	fix: correct problem where some non-ascii chars could be allowed in UTF-16 base64 (#476)
2024-08-05	f058d353140f		base64_decode	38.269	fix: correct problem where some non-ascii chars could be allowed in UTF-16 base64 (#476)
2024-08-05	8c1846596287		validate_utf8	20.245	verifying issue 468 (again) (#480)
2024-08-05	8c1846596287		validate_ascii	82.706	verifying issue 468 (again) (#480)
2024-08-05	8c1846596287		validate_utf16le	61.238	verifying issue 468 (again) (#480)
2024-08-05	8c1846596287		utf8_to_utf16le	6.816	verifying issue 468 (again) (#480)
2024-08-05	8c1846596287		utf16le_to_utf8	12.482	verifying issue 468 (again) (#480)
2024-08-05	8c1846596287		base64_encode	31.825	verifying issue 468 (again) (#480)
2024-08-05	8c1846596287		base64_decode	38.310	verifying issue 468 (again) (#480)
2024-08-05	592911195343		validate_utf8	20.280	verify issue 479 (#482)
2024-08-05	592911195343		validate_ascii	82.653	verify issue 479 (#482)
2024-08-05	592911195343		validate_utf16le	61.232	verify issue 479 (#482)
2024-08-05	592911195343		utf8_to_utf16le	6.852	verify issue 479 (#482)
2024-08-05	592911195343		utf16le_to_utf8	12.436	verify issue 479 (#482)
2024-08-05	592911195343		base64_encode	31.878	verify issue 479 (#482)
2024-08-05	592911195343		base64_decode	38.213	verify issue 479 (#482)
2024-08-06	f255f66f908e		validate_utf8	20.279	verify issue 478 (#481)
2024-08-06	f255f66f908e		validate_ascii	82.691	verify issue 478 (#481)
2024-08-06	f255f66f908e		validate_utf16le	61.159	verify issue 478 (#481)
2024-08-06	f255f66f908e		utf8_to_utf16le	6.848	verify issue 478 (#481)
2024-08-06	f255f66f908e		utf16le_to_utf8	12.444	verify issue 478 (#481)
2024-08-06	f255f66f908e		base64_encode	32.080	verify issue 478 (#481)
2024-08-06	f255f66f908e		base64_decode	38.246	verify issue 478 (#481)
2024-08-06	89625e545905	v5.3.2	validate_utf8	20.247	preparing release (#477)
2024-08-06	89625e545905	v5.3.2	validate_ascii	82.701	preparing release (#477)
2024-08-06	89625e545905	v5.3.2	validate_utf16le	60.767	preparing release (#477)
2024-08-06	89625e545905	v5.3.2	utf8_to_utf16le	6.834	preparing release (#477)
2024-08-06	89625e545905	v5.3.2	utf16le_to_utf8	12.428	preparing release (#477)
2024-08-06	89625e545905	v5.3.2	base64_encode	31.930	preparing release (#477)
2024-08-06	89625e545905	v5.3.2	base64_decode	37.975	preparing release (#477)
2024-08-07	41fd034a19f7		validate_utf8	20.295	guard against nullptr arithmetic (#484)
2024-08-07	41fd034a19f7		validate_ascii	82.663	guard against nullptr arithmetic (#484)
2024-08-07	41fd034a19f7		validate_utf16le	60.874	guard against nullptr arithmetic (#484)
2024-08-07	41fd034a19f7		utf8_to_utf16le	6.840	guard against nullptr arithmetic (#484)
2024-08-07	41fd034a19f7		utf16le_to_utf8	12.467	guard against nullptr arithmetic (#484)
