goos: linux
goarch: amd64
pkg: github.com/RoaringBitmap/roaring/v2
cpu: INTEL(R) XEON(R) GOLD 6548N
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000202 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000207 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000211 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000205 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000206 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000226 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000219 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000218 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000273 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000220 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000216 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000219 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000217 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000416 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000370 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000423 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000372 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000372 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000367 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000370 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000468 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000422 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000421 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000419 ns/op	       0 B/op	       0 allocs/op
